Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Value,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",2,14,Sep 2 - Sep 14,11.2,9.9,12.7,9.9 - 12.7,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,14,Sep 2 - Sep 14,4.4,3.4,5.5,3.4 - 5.5,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,14,Sep 2 - Sep 14,15.7,13.4,18.2,13.4 - 18.2,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,14,Sep 2 - Sep 14,10.4,8.5,12.6,8.5 - 12.6,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,High school diploma or GED,2,14,Sep 2 - Sep 14,7.6,6.9,8.4,6.9 - 8.4,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,14,Sep 2 - Sep 14,11.7,11.1,12.4,11.1 - 12.4,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,14,Sep 2 - Sep 14,9.4,9,9.9,9.0 - 9.9,,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alabama,Alabama,2,14,Sep 2 - Sep 14,9.9,7.2,13,7.2 - 13.0,9.5-10.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Alaska,Alaska,2,14,Sep 2 - Sep 14,9.6,7.5,12.1,7.5 - 12.1,9.5-10.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arizona,Arizona,2,14,Sep 2 - Sep 14,12.3,10.2,14.8,10.2 - 14.8,10.8-13.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Arkansas,Arkansas,2,14,Sep 2 - Sep 14,12.1,9.7,14.7,9.7 - 14.7,10.8-13.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,California,California,2,14,Sep 2 - Sep 14,9.2,8,10.5,8.0 - 10.5,8.7-9.4,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Colorado,Colorado,2,14,Sep 2 - Sep 14,12.9,10.4,15.7,10.4 - 15.7,10.8-13.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Connecticut,Connecticut,2,14,Sep 2 - Sep 14,8.3,6.4,10.6,6.4 - 10.6,6.5-8.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Delaware,Delaware,2,14,Sep 2 - Sep 14,9.9,7,13.5,7.0 - 13.5,9.5-10.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,14,Sep 2 - Sep 14,12.6,8.9,17.1,8.9 - 17.1,10.8-13.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Florida,Florida,2,14,Sep 2 - Sep 14,8.6,7.2,10.2,7.2 - 10.2,6.5-8.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Georgia,Georgia,2,14,Sep 2 - Sep 14,12.3,10.1,14.8,10.1 - 14.8,10.8-13.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Hawaii,Hawaii,2,14,Sep 2 - Sep 14,9.2,5.9,13.5,5.9 - 13.5,8.7-9.4,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Idaho,Idaho,2,14,Sep 2 - Sep 14,10,8.4,11.8,8.4 - 11.8,9.5-10.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Illinois,Illinois,2,14,Sep 2 - Sep 14,10.7,8.8,12.8,8.8 - 12.8,9.5-10.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Indiana,Indiana,2,14,Sep 2 - Sep 14,10.5,8.6,12.6,8.6 - 12.6,9.5-10.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Iowa,Iowa,2,14,Sep 2 - Sep 14,9.4,7.2,11.9,7.2 - 11.9,8.7-9.4,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kansas,Kansas,2,14,Sep 2 - Sep 14,9.2,7.1,11.8,7.1 - 11.8,8.7-9.4,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Kentucky,Kentucky,2,14,Sep 2 - Sep 14,9.9,7.6,12.7,7.6 - 12.7,9.5-10.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Louisiana,Louisiana,2,14,Sep 2 - Sep 14,11,8.7,13.7,8.7 - 13.7,10.8-13.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maine,Maine,2,14,Sep 2 - Sep 14,10.7,8.2,13.8,8.2 - 13.8,9.5-10.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Maryland,Maryland,2,14,Sep 2 - Sep 14,9.3,7.4,11.4,7.4 - 11.4,8.7-9.4,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,14,Sep 2 - Sep 14,8.6,7,10.4,7.0 - 10.4,6.5-8.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Michigan,Michigan,2,14,Sep 2 - Sep 14,9,7.4,10.8,7.4 - 10.8,8.7-9.4,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Minnesota,Minnesota,2,14,Sep 2 - Sep 14,8.1,6.5,10,6.5 - 10.0,6.5-8.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Mississippi,Mississippi,2,14,Sep 2 - Sep 14,10.4,7.8,13.6,7.8 - 13.6,9.5-10.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Missouri,Missouri,2,14,Sep 2 - Sep 14,10.7,8.6,13.1,8.6 - 13.1,9.5-10.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Montana,Montana,2,14,Sep 2 - Sep 14,9.4,7.6,11.4,7.6 - 11.4,8.7-9.4,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nebraska,Nebraska,2,14,Sep 2 - Sep 14,8.6,6.7,10.7,6.7 - 10.7,6.5-8.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Nevada,Nevada,2,14,Sep 2 - Sep 14,9.7,7.9,11.7,7.9 - 11.7,9.5-10.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,14,Sep 2 - Sep 14,8.8,6.6,11.4,6.6 - 11.4,8.7-9.4,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Jersey,New Jersey,2,14,Sep 2 - Sep 14,6.9,5.3,8.7,5.3 - 8.7,6.5-8.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New Mexico,New Mexico,2,14,Sep 2 - Sep 14,6.5,5.2,7.9,5.2 - 7.9,6.5-8.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,New York,New York,2,14,Sep 2 - Sep 14,9.5,7.3,12.2,7.3 - 12.2,9.5-10.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Carolina,North Carolina,2,14,Sep 2 - Sep 14,11.5,8.7,14.8,8.7 - 14.8,10.8-13.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,North Dakota,North Dakota,2,14,Sep 2 - Sep 14,7.9,4.9,11.9,4.9 - 11.9,6.5-8.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Ohio,Ohio,2,14,Sep 2 - Sep 14,8.2,6.4,10.3,6.4 - 10.3,6.5-8.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,14,Sep 2 - Sep 14,9,7.1,11.3,7.1 - 11.3,8.7-9.4,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Oregon,Oregon,2,14,Sep 2 - Sep 14,13.1,11,15.4,11.0 - 15.4,10.8-13.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,14,Sep 2 - Sep 14,8.1,6.2,10.4,6.2 - 10.4,6.5-8.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,14,Sep 2 - Sep 14,8.9,6.4,11.9,6.4 - 11.9,8.7-9.4,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Carolina,South Carolina,2,14,Sep 2 - Sep 14,8.1,5.8,11.1,5.8 - 11.1,6.5-8.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,South Dakota,South Dakota,2,14,Sep 2 - Sep 14,6.5,4.6,8.7,4.6 - 8.7,6.5-8.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Tennessee,Tennessee,2,14,Sep 2 - Sep 14,9.8,7.6,12.4,7.6 - 12.4,9.5-10.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Texas,Texas,2,14,Sep 2 - Sep 14,10.9,9.4,12.6,9.4 - 12.6,10.8-13.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Utah,Utah,2,14,Sep 2 - Sep 14,11.3,9.4,13.5,9.4 - 13.5,10.8-13.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Vermont,Vermont,2,14,Sep 2 - Sep 14,9.6,7.3,12.4,7.3 - 12.4,9.5-10.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Virginia,Virginia,2,14,Sep 2 - Sep 14,8.5,6.6,10.8,6.6 - 10.8,6.5-8.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Washington,Washington,2,14,Sep 2 - Sep 14,11,9.5,12.6,9.5 - 12.6,10.8-13.1,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,West Virginia,West Virginia,2,14,Sep 2 - Sep 14,7.5,5.6,9.8,5.6 - 9.8,6.5-8.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,14,Sep 2 - Sep 14,6.9,5.4,8.6,5.4 - 8.6,6.5-8.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wyoming,Wyoming,2,14,Sep 2 - Sep 14,8.9,6.5,11.7,6.5 - 11.7,8.7-9.4,
"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,United States,2,15,Sep 16 - Sep 28,19.8,19.3,20.3,19.3 - 20.3,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,18 - 29 years,2,15,Sep 16 - Sep 28,19.1,17.2,21,17.2 - 21.0,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,30 - 39 years,2,15,Sep 16 - Sep 28,20,19,20.9,19.0 - 20.9,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,40 - 49 years,2,15,Sep 16 - Sep 28,20.4,19.5,21.4,19.5 - 21.4,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,50 - 59 years,2,15,Sep 16 - Sep 28,21.2,20.1,22.4,20.1 - 22.4,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,60 - 69 years,2,15,Sep 16 - Sep 28,21,19.9,22.3,19.9 - 22.3,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,70 - 79 years,2,15,Sep 16 - Sep 28,16.6,15.1,18.1,15.1 - 18.1,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,United States,80 years and above,2,15,Sep 16 - Sep 28,13.3,10.7,16.2,10.7 - 16.2,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Gender,United States,Male,2,15,Sep 16 - Sep 28,14.4,13.8,15,13.8 - 15.0,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Gender,United States,Female,2,15,Sep 16 - Sep 28,24.8,24.1,25.5,24.1 - 25.5,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,15,Sep 16 - Sep 28,11.5,11.1,12,11.1 - 12.0,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,15,Sep 16 - Sep 28,33.9,32.9,34.9,32.9 - 34.9,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,15,Sep 16 - Sep 28,16.7,15,18.4,15.0 - 18.4,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",2,15,Sep 16 - Sep 28,22.5,22,23.1,22.0 - 23.1,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",2,15,Sep 16 - Sep 28,13.4,12,14.8,12.0 - 14.8,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,15,Sep 16 - Sep 28,8.4,6.9,10.2,6.9 - 10.2,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,15,Sep 16 - Sep 28,20.3,18.1,22.6,18.1 - 22.6,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,15,Sep 16 - Sep 28,18,15.4,20.7,15.4 - 20.7,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,High school diploma or GED,2,15,Sep 16 - Sep 28,17.8,16.7,19,16.7 - 19.0,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,15,Sep 16 - Sep 28,22.4,21.6,23.3,21.6 - 23.3,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,15,Sep 16 - Sep 28,19.5,19,20.1,19.0 - 20.1,,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,2,15,Sep 16 - Sep 28,25.9,22.5,29.4,22.5 - 29.4,23.0-25.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,2,15,Sep 16 - Sep 28,17.1,14.3,20.2,14.3 - 20.2,10.1-19.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arizona,Arizona,2,15,Sep 16 - Sep 28,19,16.6,21.5,16.6 - 21.5,10.1-19.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,2,15,Sep 16 - Sep 28,20.3,17.2,23.7,17.2 - 23.7,19.2-21.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,2,15,Sep 16 - Sep 28,16.2,14.5,18,14.5 - 18.0,10.1-19.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,2,15,Sep 16 - Sep 28,21.8,18.9,24.8,18.9 - 24.8,21.4-22.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,2,15,Sep 16 - Sep 28,22.4,19.7,25.2,19.7 - 25.2,21.4-22.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,2,15,Sep 16 - Sep 28,18.8,15.5,22.6,15.5 - 22.6,10.1-19.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,15,Sep 16 - Sep 28,19.1,15.5,23.1,15.5 - 23.1,10.1-19.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,2,15,Sep 16 - Sep 28,19.6,17.1,22.4,17.1 - 22.4,19.2-21.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,2,15,Sep 16 - Sep 28,19.9,17,23.1,17.0 - 23.1,19.2-21.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,2,15,Sep 16 - Sep 28,10.1,7.5,13.1,7.5 - 13.1,10.1-19.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Idaho,Idaho,2,15,Sep 16 - Sep 28,21.8,18.7,25.2,18.7 - 25.2,21.4-22.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Illinois,Illinois,2,15,Sep 16 - Sep 28,19.3,16.8,22,16.8 - 22.0,19.2-21.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,2,15,Sep 16 - Sep 28,22.5,19.7,25.4,19.7 - 25.4,21.4-22.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,2,15,Sep 16 - Sep 28,22.9,19.4,26.7,19.4 - 26.7,21.4-22.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,2,15,Sep 16 - Sep 28,25,22.3,27.8,22.3 - 27.8,23.0-25.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,2,15,Sep 16 - Sep 28,25.5,22.3,28.9,22.3 - 28.9,23.0-25.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,2,15,Sep 16 - Sep 28,23.1,20.3,26,20.3 - 26.0,23.0-25.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maine,Maine,2,15,Sep 16 - Sep 28,21.5,17.1,26.4,17.1 - 26.4,21.4-22.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,2,15,Sep 16 - Sep 28,18.8,16.3,21.6,16.3 - 21.6,10.1-19.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,15,Sep 16 - Sep 28,22.9,20.1,25.9,20.1 - 25.9,21.4-22.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Michigan,Michigan,2,15,Sep 16 - Sep 28,19.8,17.4,22.4,17.4 - 22.4,19.2-21.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Minnesota,Minnesota,2,15,Sep 16 - Sep 28,22.9,20.5,25.5,20.5 - 25.5,21.4-22.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,2,15,Sep 16 - Sep 28,19.8,16.3,23.8,16.3 - 23.8,19.2-21.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,2,15,Sep 16 - Sep 28,23,20.2,25.9,20.2 - 25.9,23.0-25.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,2,15,Sep 16 - Sep 28,25.4,21.2,30,21.2 - 30.0,23.0-25.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nebraska,Nebraska,2,15,Sep 16 - Sep 28,19.4,16.7,22.3,16.7 - 22.3,19.2-21.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,2,15,Sep 16 - Sep 28,17.4,14.2,21.1,14.2 - 21.1,10.1-19.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,15,Sep 16 - Sep 28,21.8,18.6,25.4,18.6 - 25.4,21.4-22.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,2,15,Sep 16 - Sep 28,17.4,14.4,20.7,14.4 - 20.7,10.1-19.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,2,15,Sep 16 - Sep 28,22.7,18.8,26.9,18.8 - 26.9,21.4-22.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,2,15,Sep 16 - Sep 28,15.9,13.5,18.6,13.5 - 18.6,10.1-19.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,2,15,Sep 16 - Sep 28,20.4,17.1,24.1,17.1 - 24.1,19.2-21.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,2,15,Sep 16 - Sep 28,22.6,19.2,26.3,19.2 - 26.3,21.4-22.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Ohio,Ohio,2,15,Sep 16 - Sep 28,21,17.4,24.9,17.4 - 24.9,19.2-21.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,15,Sep 16 - Sep 28,20.7,17.2,24.6,17.2 - 24.6,19.2-21.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,2,15,Sep 16 - Sep 28,18.2,16.2,20.4,16.2 - 20.4,10.1-19.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,15,Sep 16 - Sep 28,22.6,19.2,26.2,19.2 - 26.2,21.4-22.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,15,Sep 16 - Sep 28,22.3,17.7,27.4,17.7 - 27.4,21.4-22.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,2,15,Sep 16 - Sep 28,21.3,18.3,24.6,18.3 - 24.6,19.2-21.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,2,15,Sep 16 - Sep 28,21.7,17.7,26,17.7 - 26.0,21.4-22.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,2,15,Sep 16 - Sep 28,24.1,21.1,27.3,21.1 - 27.3,23.0-25.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,2,15,Sep 16 - Sep 28,18.2,16.5,20.1,16.5 - 20.1,10.1-19.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,2,15,Sep 16 - Sep 28,24.2,21.7,27,21.7 - 27.0,23.0-25.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,2,15,Sep 16 - Sep 28,24.2,20.2,28.6,20.2 - 28.6,23.0-25.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,2,15,Sep 16 - Sep 28,19.1,16.2,22.4,16.2 - 22.4,10.1-19.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,2,15,Sep 16 - Sep 28,20.7,18.7,22.8,18.7 - 22.8,19.2-21.3,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,West Virginia,West Virginia,2,15,Sep 16 - Sep 28,23.5,19.7,27.6,19.7 - 27.6,23.0-25.9,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,15,Sep 16 - Sep 28,18.2,15.5,21.2,15.5 - 21.2,10.1-19.1,
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,2,15,Sep 16 - Sep 28,22.3,18.7,26.2,18.7 - 26.2,21.4-22.9,
"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,2,15,Sep 16 - Sep 28,9,8.7,9.4,8.7 - 9.4,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,2,15,Sep 16 - Sep 28,12.1,11,13.3,11.0 - 13.3,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,2,15,Sep 16 - Sep 28,12.8,11.9,13.9,11.9 - 13.9,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,2,15,Sep 16 - Sep 28,10.4,9.5,11.3,9.5 - 11.3,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,2,15,Sep 16 - Sep 28,7.9,7.3,8.6,7.3 - 8.6,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,2,15,Sep 16 - Sep 28,6.2,5.4,7.1,5.4 - 7.1,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,2,15,Sep 16 - Sep 28,3.8,3.1,4.5,3.1 - 4.5,,
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,2,15,Sep 16 - Sep 28,3.6,2.3,5.2,2.3 - 5.2,,
"Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Male,2,15,Sep 16 - Sep 28,6.9,6.5,7.3,6.5 - 7.3,,
